pregunta_id,comparación,test,estadístico,p_raw,cramers_v,p_adj,sig,sig_str
0,condiciones en P0,Chi2,117.915,2.170047693593551e-25,0.423,1.5190333855154859e-24,True,***
1,condiciones en P1,Chi2,156.726,9.32668031225162e-34,0.487,1.3057352437152268e-32,True,***
2,condiciones en P2,Chi2,48.791,1.4450499135719712e-10,0.272,1.5562075992313535e-10,True,***
3,condiciones en P3,Chi2,66.762,2.1060306814657284e-14,0.318,3.276047726724466e-14,True,***
4,condiciones en P4,Chi2,113.291,2.147719041607174e-24,0.414,7.51701664562511e-24,True,***
5,condiciones en P5,Chi2,46.257,4.999999029267161e-10,0.265,4.999999029267161e-10,True,***
6,condiciones en P6,Chi2,89.366,2.9967850800223245e-19,0.368,5.993570160044649e-19,True,***
7,condiciones en P7,Chi2,54.312,9.624933721870897e-12,0.287,1.1229089342182714e-11,True,***
8,condiciones en P8,Chi2,61.637,2.6265471140336216e-13,0.306,3.67716595964707e-13,True,***
9,condiciones en P9,Chi2,100.303,1.3377034134178254e-21,0.39,3.745569557569911e-21,True,***
10,condiciones en P10,Chi2,75.894,2.3301419534042725e-16,0.339,4.077748418457477e-16,True,***
11,condiciones en P11,Chi2,115.885,5.938064537946633e-25,0.419,2.7710967843750957e-24,True,***
12,condiciones en P12,Chi2,92.924,5.155991692104336e-20,0.375,1.2030647281576784e-19,True,***
13,condiciones en P13,Chi2,57.874,1.67225574126409e-12,0.296,2.1283254888815692e-12,True,***
