modelo,condición_A,condición_B,rate_A_%,rate_B_%,diff_%,cohens_h,test,estadístico,p_raw,p_adj,sig,sig_str
deepseek,Básico,Básico (no reveles),78.4,37.4,40.9,0.857,Chi2,158.596,2.293064643767675e-36,1.1465323218838375e-35,True,***
deepseek,Básico,Prompt r1,78.4,57.4,21.0,0.455,Chi2,46.687,8.330028432481847e-12,1.4700050174967965e-11,True,***
deepseek,Básico,Prompt r2,78.4,60.4,18.0,0.394,Chi2,35.09,3.148091019289556e-09,4.970670030457194e-09,True,***
deepseek,Básico (no reveles),Prompt r1,37.4,57.4,-19.9,-0.402,Chi2,36.74,1.3499239661949091e-09,2.2498732769915155e-09,True,***
deepseek,Básico (no reveles),Prompt r2,37.4,60.4,-22.9,-0.463,Chi2,48.663,3.038706624886106e-12,6.077413249772212e-12,True,***
deepseek,Prompt r1,Prompt r2,57.4,60.4,-3.0,-0.062,Chi2,0.876,0.3492766005888007,0.3880851117653341,False,n.s.
gemini-flash,Básico,Básico (no reveles),23.2,0.9,22.3,0.818,Chi2,108.626,1.9600892072159367e-25,6.533630690719789e-25,True,***
gemini-flash,Básico,Prompt r1,23.2,15.4,7.8,0.199,Chi2,9.018,0.002673097197379939,0.0032077166368559267,True,***
gemini-flash,Básico,Prompt r2,23.2,13.6,9.5,0.248,Chi2,13.956,0.00018715190846774462,0.00023393988558468077,True,***
gemini-flash,Básico (no reveles),Prompt r1,0.9,15.4,-14.5,-0.619,Chi2,65.141,6.973571226752924e-16,1.9018830618417065e-15,True,***
gemini-flash,Básico (no reveles),Prompt r2,0.9,13.6,-12.8,-0.57,Chi2,56.017,7.184461321600232e-14,1.6370645832082426e-13,True,***
gemini-flash,Prompt r1,Prompt r2,15.4,13.6,1.7,0.049,Chi2,0.559,0.45481494409836354,0.48730172581967524,False,n.s.
gpt-4.1,Básico,Básico (no reveles),87.2,23.2,64.1,1.407,Chi2,383.429,2.2306852375985598e-85,6.69205571279568e-84,True,***
gpt-4.1,Básico,Prompt r1,87.2,46.8,40.5,0.905,Chi2,171.145,4.159590073813156e-39,3.119692555359867e-38,True,***
gpt-4.1,Básico,Prompt r2,87.2,51.7,35.5,0.805,Chi2,137.27,1.0525662375531377e-31,4.510998160942019e-31,True,***
gpt-4.1,Básico (no reveles),Prompt r1,23.2,46.8,-23.6,-0.502,Chi2,56.552,5.4731674789044595e-14,1.368291869726115e-13,True,***
gpt-4.1,Básico (no reveles),Prompt r2,23.2,51.7,-28.6,-0.601,Chi2,80.504,2.901595854595475e-19,8.704787563786425e-19,True,***
gpt-4.1,Prompt r1,Prompt r2,46.8,51.7,-5.0,-0.1,Chi2,2.291,0.13016218665494075,0.15018713844800854,False,n.s.
gpt-4o,Básico,Básico (no reveles),24.0,0.4,23.6,0.893,Chi2,119.791,7.027499014193804e-28,2.6353121303226765e-27,True,***
gpt-4o,Básico,Prompt r1,24.0,12.6,11.5,0.3,Chi2,20.342,6.476898744677955e-06,8.448128797406028e-06,True,***
gpt-4o,Básico,Prompt r2,24.0,11.0,13.0,0.347,Chi2,26.947,2.091513211368696e-07,3.1372698170530443e-07,True,***
gpt-4o,Básico (no reveles),Prompt r1,0.4,12.6,-12.1,-0.593,Chi2,55.896,7.639634721638466e-14,1.6370645832082426e-13,True,***
gpt-4o,Básico (no reveles),Prompt r2,0.4,11.0,-10.6,-0.546,Chi2,48.058,4.136927906289691e-12,7.756739824293171e-12,True,***
gpt-4o,Prompt r1,Prompt r2,12.6,11.0,1.5,0.047,Chi2,0.51,0.4752843511106123,0.49167346666615064,False,n.s.
gpt-5.4-mini,Básico,Básico (no reveles),42.4,0.4,42.0,1.287,Chi2,241.921,1.4991406640531378e-54,2.248710996079707e-53,True,***
gpt-5.4-mini,Básico,Prompt r1,42.4,6.7,35.7,0.895,Chi2,158.994,1.876775494204814e-36,1.1260652965228884e-35,True,***
gpt-5.4-mini,Básico,Prompt r2,42.4,5.6,36.8,0.94,Chi2,171.348,3.755754690516013e-39,3.119692555359867e-38,True,***
gpt-5.4-mini,Básico (no reveles),Prompt r1,0.4,6.7,-6.3,-0.392,Chi2,26.429,2.7344269340339994e-07,3.906324191477142e-07,True,***
gpt-5.4-mini,Básico (no reveles),Prompt r2,0.4,5.6,-5.2,-0.347,Chi2,21.214,4.10691959847036e-06,5.600344907005036e-06,True,***
gpt-5.4-mini,Prompt r1,Prompt r2,6.7,5.6,1.1,0.045,Chi2,0.467,0.49417115254499067,0.49417115254499067,False,n.s.
